"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","birthstate","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"42019",1,0,1,17,6,13,1946,NA,2448,47,141676.78125,5573,1,1,211322.15625,20,1,16,NA,NA,0,0,NA,0,1,18,0,1,1,0
"42028",1,0,1,12,9,9,1942,NA,2496,51,40250,2586,0,1,63430.78125,25,1,NA,NA,NA,NA,NA,NA,0,2,24,0,1,1,0
"42056",1,0,1,12,9,10,1967,14,3000,26,35418.390625,6093,0,1,59566.78125,7,2,12,11,0,0,0,0,0,2,24,0,1,1,0
"42058",1,0,1,12,11,9,1965,42,NA,28,NA,11960,1,NA,70033.390625,NA,NA,9,12,0,0,0,0,0,3,42,0,1,NA,0
"42080",1,0,1,11,11,10,1955,34,2151,38,61178.390625,11757,2,1,78886.78125,19,1,8,NA,NA,0,0,NA,0,2,34,0,1,1,0
"42119",0,0,1,14,9,11,1941,NA,1960,52,33808.390625,4850,0,1,226995.515625,16,2,NA,NA,NA,NA,NA,NA,0,2,21,0,1,NA,1
"42122",0,0,0,14,6,9,1946,NA,0,47,0,12154,1,1,28110.599609375,6,4,NA,NA,NA,NA,NA,NA,0,3,10,0,0,NA,1
"42129",0,1,0,12,7,11,1936,NA,1693,57,30588.390625,6363,0,0,30588.390625,30,1,NA,NA,NA,NA,NA,NA,0,3,42,0,1,1,0
"42131",1,0,1,17,12,12,1967,36,2138,26,22540,5153,1,1,60049.78125,8,1,13,12,17708.390625,NA,NA,0,0,4,30,0,1,1,0
"42132",0,0,1,16,9,10,1957,34,NA,36,NA,12161,0,1,103023.8984375,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,0,1,NA,0
"42134",0,0,1,12,10,10,1959,24,1260,34,10463.3896484375,5743,3,1,31715.390625,4,3,NA,NA,NA,NA,NA,NA,0,2,24,0,1,NA,1
"42153",1,0,1,9,6,7,1933,NA,2550,60,59568.390625,5659,0,0,59568.390625,33,2,NA,NA,NA,NA,NA,NA,0,2,22,0,1,1,0
"42161",1,0,1,16,12,10,1955,23,1610,38,25114.390625,2573,0,0,25114.390625,7,2,12,13,0,4830,0,0,0,3,23,0,1,1,0
"42168",0,0,1,12,11,10,1965,22,0,28,0,4277,2,1,63337.3984375,5,3,NA,NA,NA,NA,NA,NA,0,2,22,0,1,NA,1
"42174",1,0,1,14,4,12,1964,29,3528,30,56348.390625,5346,1,1,174639.921875,7,3,NA,NA,NA,NA,NA,NA,0,1,29,0,1,1,0
"42229",1,0,1,16,1,12,1953,31,2500,41,482991.9375,5703,2,1,709370.8125,15,1,NA,NA,NA,NA,NA,NA,0,1,31,0,1,1,0
"42235",0,0,1,17,2,11,1940,NA,1970,54,69228.390625,4498,0,1,88751.25,18,3,NA,NA,NA,NA,NA,NA,0,3,9,0,1,NA,1
"42249",0,0,1,16,9,13,1957,31,0,36,0,4463,2,1,255143.140625,NA,1,NA,NA,NA,NA,NA,NA,0,1,29,0,0,NA,1
"42271",1,0,1,12,11,11,1960,16,2250,33,56348.390625,12192,2,1,95080.15625,14,2,NA,NA,NA,NA,NA,NA,0,3,16,0,1,1,0
"42326",1,0,1,12,11,12,1946,NA,2100,47,20928.390625,12514,1,1,67070.9921875,20,3,NA,NA,NA,NA,NA,NA,0,3,3,0,1,1,0
